image_names,image_labels,cluster_id
COCO_train2014_000000194231.jpg,"bottle,sink",3
COCO_train2014_000000539340.jpg,teddy bear,0
COCO_train2014_000000315994.jpg,"cell phone,book,book,handbag",4
musicStore2.jpg,musicStore,3
sparoom6.jpg,sparoom,3
COCO_train2014_000000037165.jpg,"bus,bus,donut,person,person,person,person,person,person,person,person,person,person,person,person,person",4
COCO_train2014_000000225829.jpg,"airplane,person",1
COCO_train2014_000000315461.jpg,giraffe,2
COCO_train2014_000000233104.jpg,"bird,bird,bird,bird,bird,horse,horse,horse,bird,bird,bird",2
COCO_train2014_000000267338.jpg,"cat,bed",3
n01986214_14578.JPEG,hermit crab,2
n02974003_4105.JPEG,car wheel,4
n02927161_4653.JPEG,"butcher shop, meat market",4
garbagedump2.jpg,garbagedump,1
diner12.jpg,diner,3
COCO_train2014_000000340488.jpg,"train,person,person,person,person,person,person,person,person,traffic light,handbag,handbag,person,person,person,traffic light,person,handbag,person",1
n03544143_7389.JPEG,hourglass,0
COCO_train2014_000000509269.jpg,"bear,bear",2
n04591713_3599.JPEG,wine bottle,4
n02107683_5319.JPEG,Bernese mountain dog,0
n03888257_37794.JPEG,"parachute, chute",1
COCO_train2014_000000288751.jpg,"boat,boat,boat,boat",1
COCO_train2014_000000401822.jpg,"oven,sink",3
COCO_train2014_000000002559.jpg,"toilet,sink,cup,cup",3
n03179701_40133.JPEG,desk,3
bleachers7.jpg,bleachers,3
apartmentBuilding2.jpg,apartmentBuilding,3
n03733281_17260.JPEG,"maze, labyrinth",1
ATM2.jpg,ATM,3
n02114548_19508.JPEG,"white wolf, Arctic wolf, Canis lupus tundrarum",2
n03394916_51071.JPEG,"French horn, horn",4
COCO_train2014_000000497464.jpg,"bottle,bottle,person,person,person,surfboard,surfboard,bottle,person,surfboard",1
n04251144_13296.JPEG,snorkel,1
n03630383_6338.JPEG,"lab coat, laboratory coat",1
n02123394_8575.JPEG,Persian cat,0
carFactory1.jpg,carFactory,3
n04026417_14316.JPEG,purse,4
COCO_train2014_000000290192.jpg,"airplane,airplane,airplane,airplane,airplane,airplane,airplane,airplane,airplane",1
n02229544_250.JPEG,cricket,2
COCO_train2014_000000146725.jpg,"airplane,airplane",1
COCO_train2014_000000182799.jpg,"cell phone,person,handbag",1
n03127925_674.JPEG,crate,4
dugout2.jpg,dugout,3
COCO_train2014_000000246736.jpg,"cat,couch,keyboard,chair",0
n02799071_35743.JPEG,baseball,4
ballroom4.jpg,ballroom,3
n03617480_20673.JPEG,kimono,3
COCO_train2014_000000326161.jpg,"snowboard,person,person,person,person,person,person,snowboard,person,person,person,person,person,person,person,skis,person",1
n02317335_26399.JPEG,"starfish, sea star",2
cabinIndoors4.jpg,cabinIndoors,3
COCO_train2014_000000061174.jpg,"giraffe,giraffe",2
COCO_train2014_000000348668.jpg,zebra,2
n02879718_9546.JPEG,bow,1
COCO_train2014_000000398949.jpg,"bed,carrot,person",4
COCO_train2014_000000003521.jpg,"person,person,person,teddy bear,person",4
pantry8.jpg,pantry,3
n02398521_5517.JPEG,"hippopotamus, hippo, river horse, Hippopotamus amphibius",2
n03196217_6946.JPEG,digital clock,4
COCO_train2014_000000224100.jpg,"donut,donut,donut,donut,donut",4
COCO_train2014_000000472865.jpg,"knife,apple",4
snowmountains5.jpg,snowmountains,1
harbor8.jpg,harbor,1
COCO_train2014_000000361769.jpg,"tie,person",1
COCO_train2014_000000132297.jpg,"zebra,zebra,zebra,zebra,zebra",2
n03832673_21438.JPEG,"notebook, notebook computer",4
COCO_train2014_000000080987.jpg,elephant,2
pond1.jpg,pond,1
COCO_train2014_000000002402.jpg,"person,person,person,person,person,person,person,person,skis,person,person,skis,skis,skis",1
n03717622_3067.JPEG,manhole cover,1
COCO_train2014_000000303392.jpg,"potted plant,tv,couch,dining table,remote,vase,dining table",3
n01614925_1006.JPEG,"bald eagle, American eagle, Haliaeetus leucocephalus",2
garbagedump1.jpg,garbagedump,4
n07831146_630.JPEG,carbonara,4
n04493381_10004.JPEG,"tub, vat",3
golfcourse10.jpg,golfcourse,1
n04033901_37771.JPEG,"quill, quill pen",4
COCO_train2014_000000002372.jpg,"person,tie,clock",1
n02443484_2595.JPEG,"black-footed ferret, ferret, Mustela nigripes",0
n04389033_31026.JPEG,"tank, army tank, armored combat vehicle, armoured combat vehicle",1
lake6.jpg,lake,1
n04525038_17320.JPEG,velvet,4
COCO_train2014_000000029323.jpg,"dining table,bowl,bowl,broccoli",4
COCO_train2014_000000300476.jpg,"dog,car,car,truck,car",0
n02109047_1551.JPEG,Great Dane,0
COCO_train2014_000000333820.jpg,"person,surfboard",1
COCO_train2014_000000202805.jpg,"person,person,person,person,frisbee",1
COCO_train2014_000000551063.jpg,"zebra,zebra,zebra",2
n02091831_990.JPEG,"Saluki, gazelle hound",0
n02640242_4958.JPEG,sturgeon,1
n01687978_6955.JPEG,agama,2
n02687172_1657.JPEG,"aircraft carrier, carrier, flattop, attack aircraft carrier",1
n04597913_690.JPEG,wooden spoon,4
n01924916_1256.JPEG,"flatworm, platyhelminth",2
n02123597_11635.JPEG,"Siamese cat, Siamese",0
n07720875_5913.JPEG,bell pepper,4
ice_rink7.jpg,ice_rink,1
COCO_train2014_000000378621.jpg,"person,person,person,person,frisbee,frisbee,person",1
n03930630_884.JPEG,"pickup, pickup truck",1
labClass3.jpg,labClass,1
COCO_train2014_000000354070.jpg,"chair,chair,chair,dining table,person,person,wine glass,cup,cup,umbrella,umbrella,dining table,person,wine glass,handbag,chair,chair,chair",1
COCO_train2014_000000274685.jpg,"horse,horse,person,person",1
n02437616_818.JPEG,llama,2
n02488702_3245.JPEG,"colobus, colobus monkey",2
n03788365_11220.JPEG,mosquito net,3
COCO_train2014_000000000650.jpg,"cat,car",0
n03271574_6068.JPEG,"electric fan, blower",4
n04355338_8539.JPEG,sundial,1
n04467665_69667.JPEG,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",3
closet5.jpg,closet,3
